,Unnamed: 0,Date,Title,Author,Ranking,Year,Month,List
230,230,2020-04-01,american dirt,Jeanine Cummins,6,2020,4,combined-print-and-e-book-fiction
231,231,2020-04-01,in five years,Rebecca Serle,7,2020,4,combined-print-and-e-book-fiction
232,232,2020-04-01,the mirror  the light,Hilary Mantel,8,2020,4,combined-print-and-e-book-fiction
233,233,2020-04-01,star wars the rise of skywalker,Rae Carson,9,2020,4,combined-print-and-e-book-fiction
234,234,2020-04-01,a conspiracy of bones,Kathy Reichs,10,2020,4,combined-print-and-e-book-fiction
235,235,2020-04-01,blindside,James Patterson and James O. Born,11,2020,4,combined-print-and-e-book-fiction
236,236,2020-04-01,long range,C.J. Box,12,2020,4,combined-print-and-e-book-fiction
237,237,2020-04-01,the silent patient,Alex Michaelides,13,2020,4,combined-print-and-e-book-fiction
238,238,2020-04-01,journey of the pharaohs,Clive Cussler and Graham Brown,14,2020,4,combined-print-and-e-book-fiction
239,239,2020-04-01,the tattooist of auschwitz,Heather Morris,15,2020,4,combined-print-and-e-book-fiction
240,240,2020-05-01,masked prey,John Sandford,1,2020,5,combined-print-and-e-book-fiction
241,241,2020-05-01,little fires everywhere,Celeste Ng,2,2020,5,combined-print-and-e-book-fiction
242,242,2020-05-01,where the crawdads sing,Delia Owens,3,2020,5,combined-print-and-e-book-fiction
243,243,2020-05-01,american dirt,Jeanine Cummins,4,2020,5,combined-print-and-e-book-fiction
244,244,2020-05-01,the silent patient,Alex Michaelides,5,2020,5,combined-print-and-e-book-fiction
245,245,2020-05-01,the last emperox,John Scalzi,6,2020,5,combined-print-and-e-book-fiction
246,246,2020-05-01,the boy from the woods,Harlan Coben,7,2020,5,combined-print-and-e-book-fiction
247,247,2020-05-01,the woman in the window,A.J. Finn,8,2020,5,combined-print-and-e-book-fiction
248,248,2020-05-01,the tattooist of auschwitz,Heather Morris,9,2020,5,combined-print-and-e-book-fiction
249,249,2020-05-01,savage son,Jack Carr,10,2020,5,combined-print-and-e-book-fiction
250,250,2020-05-01,in five years,Rebecca Serle,11,2020,5,combined-print-and-e-book-fiction
251,251,2020-05-01,the giver of stars,Jojo Moyes,12,2020,5,combined-print-and-e-book-fiction
252,252,2020-05-01,the dutch house,Ann Patchett,13,2020,5,combined-print-and-e-book-fiction
253,253,2020-05-01,the glass hotel,Emily St. John Mandel,14,2020,5,combined-print-and-e-book-fiction
254,254,2020-05-01,redhead by the side of the road,Anne Tyler,15,2020,5,combined-print-and-e-book-fiction
255,255,2020-06-01,camino winds,John Grisham,1,2020,6,combined-print-and-e-book-fiction
256,256,2020-06-01,where the crawdads sing,Delia Owens,2,2020,6,combined-print-and-e-book-fiction
257,257,2020-06-01,little fires everywhere,Celeste Ng,3,2020,6,combined-print-and-e-book-fiction
258,258,2020-06-01,normal people,Sally Rooney,4,2020,6,combined-print-and-e-book-fiction
259,259,2020-06-01,big summer,Jennifer Weiner,5,2020,6,combined-print-and-e-book-fiction
260,260,2020-06-01,if it bleeds,Stephen King,6,2020,6,combined-print-and-e-book-fiction
261,261,2020-06-01,walk the wire,David Baldacci,7,2020,6,combined-print-and-e-book-fiction
262,262,2020-06-01,the 20th victim,James Patterson and Maxine Paetro,8,2020,6,combined-print-and-e-book-fiction
263,263,2020-06-01,on ocean boulevard,Mary Alice Monroe,9,2020,6,combined-print-and-e-book-fiction
264,264,2020-06-01,american dirt,Jeanine Cummins,10,2020,6,combined-print-and-e-book-fiction
265,265,2020-06-01,the last trial,Scott Turow,11,2020,6,combined-print-and-e-book-fiction
266,266,2020-06-01,beach read,Emily Henry,12,2020,6,combined-print-and-e-book-fiction
267,267,2020-06-01,rodham,Curtis Sittenfeld,13,2020,6,combined-print-and-e-book-fiction
268,268,2020-06-01,all adults here,Emma Straub,14,2020,6,combined-print-and-e-book-fiction
269,269,2020-06-01,a week at the shore,Barbara Delinsky,15,2020,6,combined-print-and-e-book-fiction
270,270,2020-07-01,28 summers,Elin Hilderbrand,1,2020,7,combined-print-and-e-book-fiction
271,271,2020-07-01,where the crawdads sing,Delia Owens,2,2020,7,combined-print-and-e-book-fiction
272,272,2020-07-01,camino winds,John Grisham,3,2020,7,combined-print-and-e-book-fiction
273,273,2020-07-01,the vanishing half,Brit Bennett,4,2020,7,combined-print-and-e-book-fiction
274,274,2020-07-01,the summer house,James Patterson and Brendan DuBois,5,2020,7,combined-print-and-e-book-fiction
275,275,2020-07-01,little fires everywhere,Celeste Ng,6,2020,7,combined-print-and-e-book-fiction
276,276,2020-07-01,fair warning,Michael Connelly,7,2020,7,combined-print-and-e-book-fiction
277,277,2020-07-01,american demon,Kim Harrison,8,2020,7,combined-print-and-e-book-fiction
278,278,2020-07-01,the guardians,John Grisham,9,2020,7,combined-print-and-e-book-fiction
279,279,2020-07-01,the guest list,Lucy Foley,10,2020,7,combined-print-and-e-book-fiction
280,280,2020-07-01,deacon king kong,James McBride,11,2020,7,combined-print-and-e-book-fiction
